Clause,Line_ID,Paragraph
1,Clause_1_1,"Charterers to appoint a surveyor acting on their behalf for performing a joint on and off hire bunker and/or condition survey. Joint on-hire hull & bunker survey to be carried out on delivery at Owner's time/joint off- hire hull & bunker survey to be carried out on redelivery at Charterers time, cost to be shared equally."
1,Clause_1_1,Charterers to appoint a surveyor acting on their behalf for performing a joint on and off hire bunker and/or condition survey. Joint on hire to survey to be in Owners time and joint off hire survey to be in Charterers time. Expenses to be shared equally.
1,Clause_1_1,Charterers to appoint a surveyor acting on their behalf for performing a joint on and off hire bunker and/or condition survey. Joint on and off hire survey time and cost to be equally shared by Charterers and Owners.
1,Clause_1_2,"In case of no joint surveys agreed, Master's figures given at the time of delivery/redelivery to be taken as binding."
2,Clause_2_1,"Charterers have the option to redeliver the vessel with uncleaned holds against a lumpsum of USD5,000 in lieu of holds cleaning."
2,Clause_2_1,"Charterers have the option to redeliver the vessel with uncleaned holds against a lumpsum of U.S.$5,000 in lieu of holds cleaning excluding removal dunnage/lashing/debris."
2,Clause_2_1,"Charterers have the option to redeliver the vessel with uncleaned holds against a lumpsum of U.S. $5,000 in lieu of holds cleaning excluding removal dunnage/lashing/debris."
2,Clause_2_1,"""Charterers have the option to redeliver the vessel with uncleaned holds against a lumpsum of US$5,000 in lieu of holds cleaning."""
2,Clause_2_1,"Charterers have the option to redeliver the vessel with uncleaned holds against a lumpsum payment of USD 5,000 in lieu of holds cleaning including dunnage removal for grain cargo."
2,Clause_2_2,1) The Charterer shall provide and pay extra for intermediate hold cleaning between voyages provided such work can be undertaken by crew and is permitted by local regulations at the rate of USD 1000 per hold.
2,Clause_2_2,1) The Charterer shall provide and pay extra for intermediate hold cleaning between voyages provided such work can be undertaken by crew and is permitted by local regulations at the rate of U.S. $700 per hold.
2,Clause_2_3,"2) Such cleaning to be performed while the vessel is en route to the next loading port always provided that this can be safely done, weather permitting same, and that the duration of the voyage is sufficient to allow the task to be completed. In connection with any such operation, the owners shall not in any way be responsible if the vessels holds are not accepted or passed for the next cargo and all time lost or any time, expenses incurred as a result of any failure shall be for Charterers account."
2,Clause_2_4,3) It is also understood that any fresh water and/or chemicals required by the vessel to carry out such cleaning and for re-delivery to be supplied to the vessel at Charterers' time/ expense.
2,Clause_2_4,3) It is also understood that any fresh water and/or chemicals required by the vessel to carry out such cleaning and for redelivery to be supplied to the vessel at Charterers' time/ expense.
2,Clause_2_5,"4) Throughout the currency of this c/p and at redelivery, the Charterers shall remain responsible for all costs and time including deviation, if any associated with the removal and disposal of cargo related residues and/or hold washing water and/or chemicals/detergents/waste as defined by MARPOL Annex V section 1 as amended from time to time or other applicable rules relating to the disposal of such substances."
2,Clause_2_6,5) Charterers are aware that should local regulations require that cargo hold washings be retained on board the vessel for later disposal then the vessel's constants will increase accordingly.
2,Clause_2_7,Vessel not to be employed on consecutive short haul trades less than 15 days total.
3,Clause_3_1,Owners shall arrange necessary International Certificates including US Coast Guard Certificates enabling vessel to trade United States waters during the currency of this Charter Party period. It is a condition for this Charter Party that the Officers and crew of the vessel are covered for the duration of this Charter Party by an ITF agreement acceptable worldwide or other Bona Fide Trade Union Agreement conforming to ITF standards.
3,Clause_3_2,Owners warrant to provide and maintain at their expenses and carry on board the vessel a valid US Federal Maritime Commission's Certificate of Financial Responsibility as required under the US Water Quality Act of 1970 and amendments thereto. In no case shall the Charterers be liable for any damages as a result pf the Owners' failure to obtain the before mentioned certificates or the Owners' non- compliance with present Water Pollution Legislation enacted by individual US States.
3,Clause_3_3,"Time lost by non-compliance to be considered as off-hire. In the event that the vessel is delayed by reason of boycotts, strikes, labour, stoppages or other actions by the ITF against the vessel due to employment conditions, time so lost shall be considered as offline."
3,Clause_3_3,"Time lost by noncompliance to be considered as offhire. In the event that the vessel is delayed by reason of boycotts, strikes, labour, stoppages or other actions by the ITF against the vessel due to employment conditions, time so lost shall be considered as offline."
3,Clause_3_4,Owners to supply valid Deratization Exemption Certificate of delivery of vessel. Renewal cost of the same to be for Owners' account and if any time lost or vessel detained on account of renewal vessel to be off-hire.
3,Clause_3_4,Owners to supply valid Deratization Exemption Certificate of delivery of vessel. Renewal cost of the same to be for Owners' account and if any time lost or vessel detained on account of renewal vessel to be offhire.
3,Clause_3_5,"Fumigation ordered because of illness of the crew to be for Owners' account. If Charterers require sanitary inspection for radio practique in addition to Deratization Exemption Certificate, renewal costs of same to be for Charterers' account."
3,Clause_3_5,"Fumigation ordered because of illness of the crew to be for Owners' account. If Charterers require sanitary inspection for radio pratique in addition to Deratization Exemption Certificate, renewal costs of same to be for Charterers' account."
